Base,Base wt %,Support,Support wt %,Yield_H2CO2_2.0,Yield_H2CO2_3.0,Yield_H2CO2_4.0,Max_Yield_AllR,Min_Yield_AllR
Mg,0.7000000000000001,Ga2O3,80.0,5.631605338240328,5.631605338240328,5.829450762504333,5.829450762504333,5.631605338240328
Ir,5.333333333333333,AlCeO,38.8,5.819156856958768,5.819156856958768,5.817376350958768,5.819156856958768,5.817376350958768
Mg,0.7000000000000001,ZnO - Al2O3,66.0,5.6196428578494615,5.6196428578494615,5.803033207682794,5.803033207682794,5.6196428578494615
Pd,3.524342105263158,ZnO,57.98146341463415,5.612404111132796,5.612404111132795,5.784415262432796,5.784415262432796,5.612404111132795
NiGa,20.0,MSU-F,89.53333333333335,5.696561180653914,5.696561180653914,5.778138336361996,5.778138336361996,5.696561180653914
NiGa,20.0,MCM-41,87.15,5.692857350628325,5.692857350628325,5.774434506336406,5.774434506336406,5.692857350628325
Cu,21.69358585858586,SiO2,92.02162162162162,5.743128813331683,5.743128813331683,5.749650879253774,5.749650879253774,5.743128813331683
Cu,21.69358585858586,TiO2,91.93333333333334,5.743128813331683,5.743128813331683,5.749650879253773,5.749650879253773,5.743128813331683
Cu,21.69358585858586,ZnAl2O4,92.5,5.737997129931683,5.737997129931683,5.744519195853774,5.744519195853774,5.737997129931683
Cu,21.69358585858586,MoS2,93.73333333333332,5.712079255948827,5.712079255948827,5.738556251270917,5.738556251270917,5.712079255948827
Mn,1.6,ZnO - Al2O3,66.0,5.540591615832795,5.540591615832795,5.721695630432794,5.721695630432794,5.540591615832795
Cu,21.69358585858586,Nb2O5,93.4,5.707535285691685,5.707535285691685,5.696143277613774,5.707535285691685,5.696143277613774
La,3.0,ZnO - Al2O3,66.0,5.456352393299462,5.456352393299462,5.631222465332795,5.631222465332795,5.456352393299462
Au,1.2272727272727273,ZnO - Al2O3,66.0,5.409400508093759,5.409400508093759,5.6027752159270925,5.6027752159270925,5.409400508093759
Ni,9.7,In2O3,96.3787514318442,5.511644057086998,5.511644057086998,5.586376255831996,5.586376255831996,5.511644057086998
Cu,21.69358585858586,MSU-F,89.53333333333335,5.516936864217749,5.516936864217749,5.575672150810744,5.575672150810744,5.516936864217749
Cu,21.69358585858586,MCM-41,87.15,5.506342704192159,5.506342704192159,5.565077990785155,5.565077990785155,5.506342704192159
Cu,21.69358585858586,MOF,93.95,5.439031989291084,5.439031989291083,5.53541679590408,5.53541679590408,5.439031989291083
Mg,0.7000000000000001,ZnO,57.98146341463415,5.341066707849462,5.341066707849462,5.524457057682796,5.524457057682796,5.341066707849462
Ru,1.0,ZnO - Al2O3,66.0,5.319223061032796,5.319223061032796,5.512907604432795,5.512907604432795,5.319223061032796
Ni,9.7,In2O3-ZrO2,99.0,5.377231448854997,5.377231448854997,5.505885209199995,5.505885209199995,5.377231448854997
Y,2.227272727272727,ZnO - Al2O3,66.0,5.317048157432797,5.317048157432797,5.494062311032796,5.494062311032796,5.317048157432797
Re,3.333333333333333,ZnO - Al2O3,66.0,5.299169804032797,5.299169804032797,5.491416928332797,5.491416928332797,5.299169804032797
Rh,1.0,ZnO - Al2O3,66.0,5.278774376732796,5.278774376732796,5.489215755032795,5.489215755032795,5.278774376732796
Pd,3.524342105263158,ZrO2,75.81729729729729,5.283013785863317,5.283013785863318,5.455024937163317,5.455024937163317,5.283013785863317
Mg,0.7000000000000001,AlCeO,38.8,5.304473825204553,5.304473825204553,5.443991885204554,5.443991885204554,5.304473825204553
Mn,1.6,ZnO,57.98146341463415,5.262015465832795,5.262015465832795,5.443119480432797,5.443119480432797,5.262015465832795
Ni,9.7,ZnO-Fe2O3,95.0,5.432754360048931,5.432754360048931,5.366361676560597,5.432754360048931,5.366361676560597
La,3.0,ZnO,57.98146341463415,5.177776243299462,5.177776243299462,5.352646315332796,5.352646315332796,5.177776243299462
Ni,9.7,ZnAlO,97.5,5.328420230948933,5.328420230948933,5.346173985483988,5.346173985483988,5.328420230948933
Pd,3.524342105263158,CeO2,79.73058823529414,5.104215321904228,5.104215321904228,5.3427656676255175,5.3427656676255175,5.104215321904228
Mn,1.6,CeO2,79.73058823529414,5.154603698761832,5.154603698761832,5.339458143025836,5.339458143025836,5.154603698761832
Mg,0.7000000000000001,In2O3,96.3787514318442,5.020981558381996,5.020981558381996,5.336206587181998,5.336206587181998,5.020981558381996
Co,7.5,In2O3,96.3787514318442,5.246182812809857,5.246182812809857,5.328485468606857,5.328485468606857,5.246182812809857
Au,1.2272727272727273,ZnO,57.98146341463415,5.130824358093759,5.130824358093759,5.324199065927093,5.324199065927093,5.130824358093759
Rh,1.0,CeO2,79.73058823529414,5.1284849579855605,5.1284849579855605,5.3227795900495645,5.3227795900495645,5.1284849579855605
NiGa,20.0,CeW0.25Ox,89.1,5.2390762279072485,5.2390762279072485,5.302288902635331,5.302288902635331,5.2390762279072485
Ru,1.0,CeO2,79.73058823529414,5.129707730818893,5.129707730818893,5.299228937902897,5.299228937902897,5.129707730818893
Pd,3.524342105263158,Ga2O3,80.0,5.050937723944227,5.050937723944228,5.289488069665517,5.289488069665517,5.050937723944227
Zr,20.0,CeW0.25Ox,89.1,5.233670486060582,5.233670486060582,5.289103629688664,5.289103629688664,5.233670486060582
Zn,21.70344827586207,CeW0.25Ox,89.1,5.233670486060582,5.233670486060582,5.289103629688664,5.289103629688664,5.233670486060582
Ni,9.7,MoS2,93.73333333333332,5.241714112746076,5.241714112746074,5.28810121858113,5.28810121858113,5.241714112746074
Re,3.333333333333333,CeO2,79.73058823529414,5.050248678352228,5.050248678352228,5.27639140261623,5.27639140261623,5.050248678352228
Mn,1.6,Ga2O3,80.0,5.090895274801833,5.090895274801833,5.275749719065836,5.275749719065836,5.090895274801833
Rh,1.0,Ga2O3,80.0,5.07754764802556,5.07754764802556,5.271842280089564,5.271842280089564,5.07754764802556
Ni,9.7,ZnO-ZrO2,99.5333333333333,5.269606425207855,5.269606425207855,5.2088018377195215,5.269606425207855,5.2088018377195215
Cu,21.69358585858586,CeW0.25Ox,89.1,5.2062600462710815,5.2062600462710815,5.261669003804078,5.261669003804078,5.2062600462710815
Ni,9.7,Nb2O5,93.4,5.234614430388932,5.234614430388932,5.247208721823988,5.247208721823988,5.234614430388932
Ru,1.0,Ga2O3,80.0,5.068205004208893,5.0682050042088935,5.237726211292896,5.237726211292896,5.068205004208893
Ru,1.0,ZnO,57.98146341463415,5.040646911032796,5.040646911032796,5.234331454432796,5.234331454432796,5.040646911032796
Mg,0.7000000000000001,ZrO2,75.81729729729729,5.046342991192665,5.046342991192665,5.229733341025998,5.229733341025998,5.046342991192665
Re,3.333333333333333,Ga2O3,80.0,4.9969710803922265,4.9969710803922265,5.223113804656229,5.223113804656229,4.9969710803922265
Y,2.227272727272727,ZnO,57.98146341463415,5.038472007432796,5.038472007432796,5.215486161032797,5.215486161032797,5.038472007432796
Co,7.5,In2O3-ZrO2,99.0,5.081037905177856,5.081037905177856,5.214475159142856,5.214475159142856,5.081037905177856
Re,3.333333333333333,ZnO,57.98146341463415,5.020593654032795,5.020593654032795,5.212840778332797,5.212840778332797,5.020593654032795
Rh,1.0,ZnO,57.98146341463415,5.0001982267327945,5.0001982267327945,5.210639605032797,5.210639605032797,5.0001982267327945
Y,2.227272727272727,CeO2,79.73058823529414,5.0211419997188935,5.0211419997188935,5.187791528802896,5.187791528802896,5.0211419997188935
Co,7.5,ZnO-Fe2O3,95.0,5.184977227084047,5.184977227084047,5.11437109968238,5.184977227084047,5.11437109968238
Ag,8.333333333333334,In2O3,96.3787514318442,5.077092573266999,5.077092573266999,5.175158381751999,5.175158381751999,5.077092573266999
Mg,0.7000000000000001,CeW0.25Ox,89.1,4.970442352309998,4.970442352309998,5.172229323629998,5.172229323629998,4.970442352309998
Au,1.2272727272727273,CeO2,79.73058823529414,4.971034691924625,4.971034691924625,5.164409182188628,5.164409182188628,4.971034691924625
Mn,1.6,ZrO2,75.81729729729729,4.9782210705633165,4.9782210705633165,5.159325085163317,5.159325085163317,4.9782210705633165
Co,7.5,ZnAlO,97.5,5.11236618821738,5.11236618821738,5.128747878705772,5.128747878705772,5.11236618821738
Co,7.5,ZnO-ZrO2,99.5333333333333,5.128429358984047,5.128429358984047,5.059070265582379,5.128429358984047,5.059070265582379
Y,2.227272727272727,Ga2O3,80.0,4.959639273108893,4.959639273108894,5.126288802192898,5.126288802192898,4.959639273108893
Ni,9.7,MOF,93.95,4.991348748454999,4.991348748454999,5.118758918099999,5.118758918099999,4.991348748454999
La,3.0,CeO2,79.73058823529414,4.916522939050328,4.916522939050328,5.10519150531433,5.10519150531433,4.916522939050328
Au,1.2272727272727273,Ga2O3,80.0,4.907326267964624,4.907326267964624,5.100700758228627,5.100700758228627,4.907326267964624
Mg,0.7000000000000001,MCM-41,87.15,4.824823544189997,4.824823544189997,5.071234304809996,5.071234304809996,4.824823544189997
Mg,0.7000000000000001,MOF,93.95,4.689806964649996,4.689806964649996,5.053724837749996,5.053724837749996,4.689806964649996
La,3.0,ZrO2,75.81729729729729,4.878202086642665,4.878202086642665,5.053072158675999,5.053072158675999,4.878202086642665
Ag,8.333333333333334,In2O3-ZrO2,99.0,4.911947665634997,4.911947665634997,5.047737881599997,5.047737881599997,4.911947665634997
Ni,9.7,SiO2,92.02162162162162,5.015418972368933,5.015418972368933,5.04518627180399,5.04518627180399,5.015418972368933
Ni,9.7,TiO2,91.93333333333334,5.015418972368933,5.015418972368933,5.04518627180399,5.04518627180399,5.015418972368933
La,3.0,Ga2O3,80.0,4.852814515090326,4.852814515090326,5.04148308135433,5.04148308135433,4.852814515090326
Mg,0.7000000000000001,In2O3-ZrO2,99.0,4.717123855849996,4.717123855849995,5.0395991300499965,5.0395991300499965,4.717123855849995
Ni,9.7,ZnAl2O4,92.5,5.005155605568933,5.005155605568933,5.034922905003991,5.034922905003991,5.005155605568933
Au,1.2272727272727273,ZrO2,75.81729729729729,4.836100641436961,4.836100641436961,5.029475349270295,5.029475349270295,4.836100641436961
Ag,8.333333333333334,ZnO-Fe2O3,95.0,5.025325852515599,5.025325852515599,4.959914066980598,5.025325852515599,4.959914066980598
Ag,8.333333333333334,ZnAlO,97.5,4.971647071315599,4.971647071315599,4.990381723803989,4.990381723803989,4.971647071315599
Co,7.5,MSU-F,89.53333333333335,4.900251228124522,4.900251228124522,4.97674833336952,4.97674833336952,4.900251228124522
Co,7.5,MCM-41,87.15,4.897066891298931,4.897066891298931,4.97356399654393,4.97356399654393,4.897066891298931
Ag,8.333333333333334,ZnO-ZrO2,99.5333333333333,4.957121620374521,4.957121620374522,4.892956868839522,4.957121620374522,4.892956868839522
Ru,1.0,ZrO2,75.81729729729729,4.756852515763317,4.756852515763317,4.950537059163318,4.950537059163318,4.756852515763317
Rh,1.0,ZrO2,75.81729729729729,4.7164038314633165,4.7164038314633165,4.926845209763318,4.926845209763318,4.7164038314633165
Y,2.227272727272727,ZrO2,75.81729729729729,4.749827172163318,4.749827172163318,4.926841325763318,4.926841325763318,4.749827172163318
Ni,9.7,MSU-F,89.53333333333335,4.834739335664057,4.834739335664057,4.925626529489057,4.925626529489057,4.834739335664057
Re,3.333333333333333,ZrO2,75.81729729729729,4.731948818763318,4.731948818763318,4.924195943063319,4.924195943063319,4.731948818763318
Co,7.5,MOF,93.95,4.784115498877855,4.784115498877855,4.916309162142856,4.916309162142856,4.784115498877855
Ni,9.7,MCM-41,87.15,4.817024592238467,4.817024592238467,4.907911786063467,4.907911786063467,4.817024592238467
Pd,3.524342105263158,MnO,80.0,4.566059369432948,4.566059369432948,4.906414469124295,4.906414469124295,4.566059369432948
Pd,3.524342105263158,AlCeO,38.8,4.730382193586553,4.730382193586553,4.8985023535865535,4.8985023535865535,4.730382193586553
Pd,3.524342105263158,SBA-15,82.76486486486488,4.52235675079815,4.52235675079815,4.851895007389497,4.851895007389497,4.52235675079815
Mn,1.6,AlCeO,38.8,4.676306440954551,4.676306440954551,4.802833520954553,4.802833520954553,4.676306440954551
Re,3.333333333333333,AlCeO,38.8,4.626557323221218,4.626557323221219,4.794372683221219,4.794372683221219,4.626557323221218
Ag,8.333333333333334,MoS2,93.73333333333332,4.740454344292742,4.740454344292742,4.791898537081131,4.791898537081131,4.740454344292742
Pd,3.524342105263158,rGO,83.75,4.532234163664817,4.532234163664817,4.789149475166107,4.789149475166107,4.532234163664817
Pd,3.524342105263158,ZrO2-CeO2,80.0,4.518908585199615,4.518908585199615,4.775823896700905,4.775823896700905,4.518908585199615
Ag,8.333333333333334,SiO2,92.02162162162162,4.7602571333556,4.7602571333556,4.773699358743989,4.773699358743989,4.7602571333556
Ag,8.333333333333334,TiO2,91.93333333333334,4.7602571333556,4.7602571333556,4.773699358743989,4.773699358743989,4.7602571333556
Rh,1.0,AlCeO,38.8,4.636884732854552,4.636884732854552,4.772852000654554,4.772852000654554,4.636884732854552
Ag,8.333333333333334,ZnAl2O4,92.5,4.749993766555599,4.749993766555599,4.7634359919439895,4.7634359919439895,4.749993766555599
Ag,8.333333333333334,Nb2O5,93.4,4.737430850935598,4.737430850935598,4.751006040323989,4.751006040323989,4.737430850935598
Ru,1.0,AlCeO,38.8,4.638107505687885,4.638107505687885,4.749301348507886,4.749301348507886,4.638107505687885
La,3.0,AlCeO,38.8,4.588027722054552,4.588027722054552,4.718368924054553,4.718368924054553,4.588027722054552
Mn,1.6,MnO,80.0,4.383824012694518,4.383824012694518,4.711525016328578,4.711525016328578,4.383824012694518
Mg,0.7000000000000001,MnO,80.0,4.37949452779968,4.37949452779968,4.709481866667073,4.709481866667073,4.37949452779968
Y,2.227272727272727,AlCeO,38.8,4.597450644587885,4.5974506445878855,4.705772809407886,4.705772809407886,4.597450644587885
Mn,1.6,SBA-15,82.76486486486488,4.34019084285972,4.34019084285972,4.658549947393779,4.658549947393779,4.34019084285972
Ag,8.333333333333334,MSU-F,89.53333333333335,4.577875747181664,4.577875747181664,4.656725814426663,4.656725814426663,4.577875747181664
Mg,0.7000000000000001,SBA-15,82.76486486486488,4.335861357964882,4.335861357964882,4.656506797732274,4.656506797732274,4.335861357964882
Au,1.2272727272727273,AlCeO,38.8,4.507127714054552,4.507127714054552,4.642174840054552,4.642174840054552,4.507127714054552
Ag,8.333333333333334,MCM-41,87.15,4.556364701756073,4.556364701756073,4.635214769001072,4.635214769001072,4.556364701756073
Ag,8.333333333333334,MOF,93.95,4.463813309334999,4.463813309334999,4.598359934599999,4.598359934599999,4.463813309334999
Mn,1.6,rGO,83.75,4.339032100626387,4.339032100626387,4.592937453970389,4.592937453970389,4.339032100626387
Mg,0.7000000000000001,rGO,83.75,4.336190171831547,4.336190171831547,4.592381860408884,4.592381860408884,4.336190171831547
Mn,1.6,ZrO2-CeO2,80.0,4.325706522161185,4.325706522161185,4.579611875505187,4.579611875505187,4.325706522161185
Mg,0.7000000000000001,ZrO2-CeO2,80.0,4.322864593366345,4.322864593366345,4.579056281943682,4.579056281943682,4.322864593366345
Ru,1.0,MnO,80.0,4.208507851804913,4.208507851804913,4.548789384238972,4.548789384238972,4.208507851804913
Rh,1.0,MnO,80.0,4.168059167504913,4.168059167504913,4.525097534838972,4.525097534838972,4.168059167504913
Au,1.2272727272727273,MnO,80.0,4.163996865523977,4.163996865523977,4.503968562391369,4.503968562391369,4.163996865523977
Ru,1.0,SBA-15,82.76486486486488,4.157189749170115,4.157189749170114,4.488129382504173,4.488129382504173,4.157189749170114
Rh,1.0,SBA-15,82.76486486486488,4.116741064870115,4.116741064870115,4.4644375331041735,4.4644375331041735,4.116741064870115
Y,2.227272727272727,MnO,80.0,4.135666238304914,4.135666238304914,4.462035220838973,4.462035220838973,4.135666238304914
Re,3.333333333333333,MnO,80.0,4.113376530904914,4.1133765309049135,4.454978484138973,4.454978484138973,4.1133765309049135
Au,1.2272727272727273,SBA-15,82.76486486486488,4.120363695689179,4.120363695689179,4.45099349345657,4.45099349345657,4.120363695689179
La,3.0,MnO,80.0,4.12294110514968,4.12294110514968,4.447166006117072,4.447166006117072,4.12294110514968
Co,7.5,CeW0.25Ox,89.1,4.372583725177856,4.372583725177856,4.422253877574855,4.422253877574855,4.372583725177856
Ir,5.333333333333333,MSU-F,89.53333333333335,4.32323499960452,4.32323499960452,4.41029933822952,4.41029933822952,4.32323499960452
Ru,1.0,rGO,83.75,4.141390327336781,4.141390327336781,4.407876209480785,4.407876209480785,4.141390327336781
Au,1.2272727272727273,rGO,83.75,4.140421796555845,4.140421796555845,4.406597843133182,4.406597843133182,4.140421796555845
Y,2.227272727272727,SBA-15,82.76486486486488,4.084348135670116,4.084348135670116,4.401375219104175,4.401375219104175,4.084348135670116
Ru,1.0,ZrO2-CeO2,80.0,4.128064748871579,4.128064748871579,4.394550631015582,4.394550631015582,4.128064748871579
Re,3.333333333333333,SBA-15,82.76486486486488,4.062058428270116,4.062058428270116,4.394318482404176,4.394318482404176,4.062058428270116
Au,1.2272727272727273,ZrO2-CeO2,80.0,4.127096218090643,4.127096218090643,4.39327226466798,4.39327226466798,4.127096218090643
La,3.0,SBA-15,82.76486486486488,4.077763542514882,4.077763542514882,4.392646544382274,4.392646544382274,4.077763542514882
Rh,1.0,rGO,83.75,4.100941643036781,4.100941643036781,4.384184360080784,4.384184360080784,4.100941643036781
Rh,1.0,ZrO2-CeO2,80.0,4.08761606457158,4.08761606457158,4.370858781615582,4.370858781615582,4.08761606457158
Ir,5.333333333333333,CeW0.25Ox,89.1,4.308902254421855,4.308902254421855,4.358876273398854,4.358876273398854,4.308902254421855
Ir,5.333333333333333,MCM-41,87.15,4.278297874442931,4.278297874442931,4.35509884626793,4.35509884626793,4.278297874442931
La,3.0,rGO,83.75,4.104990837281549,4.104990837281549,4.352662248058885,4.352662248058885,4.104990837281549
Ni,9.7,CeW0.25Ox,89.1,4.282995971317392,4.282995971317392,4.345428251062392,4.345428251062392,4.282995971317392
La,3.0,ZrO2-CeO2,80.0,4.091665258816346,4.091665258816346,4.339336669593683,4.339336669593683,4.091665258816346
Y,2.227272727272727,rGO,83.75,4.071306553736783,4.071306553736783,4.321122046080785,4.321122046080785,4.071306553736783
Re,3.333333333333333,rGO,83.75,4.053428200336782,4.053428200336781,4.318476663380785,4.318476663380785,4.053428200336781
Y,2.227272727272727,ZrO2-CeO2,80.0,4.0579809752715805,4.0579809752715805,4.307796467615583,4.307796467615583,4.0579809752715805
Re,3.333333333333333,ZrO2-CeO2,80.0,4.04010262187158,4.04010262187158,4.305151084915583,4.305151084915583,4.04010262187158
Mg,0.7000000000000001,MSU-F,89.53333333333335,4.009157039789998,4.009157039789998,4.274797656409998,4.274797656409998,4.009157039789998
Ag,8.333333333333334,CeW0.25Ox,89.1,4.201881535634999,4.201881535634999,4.267314840719997,4.267314840719997,4.201881535634999
Co,7.5,MoS2,93.73333333333332,4.090956864594522,4.090956864594522,4.140048095382912,4.140048095382912,4.090956864594522
Co,7.5,SiO2,92.02162162162162,4.11075965365738,4.11075965365738,4.12184891704577,4.12184891704577,4.11075965365738
Co,7.5,Nb2O5,93.4,4.087933371237379,4.087933371237379,4.09915559862577,4.09915559862577,4.087933371237379
Co,7.5,TiO2,91.93333333333334,4.07685825025738,4.07685825025738,4.087947513645769,4.087947513645769,4.07685825025738
Co,7.5,ZnAl2O4,92.5,4.06659488345738,4.06659488345738,4.07768414684577,4.07768414684577,4.06659488345738
Ir,5.333333333333333,In2O3,96.3787514318442,3.980944029453857,3.980944029453857,4.066120998430859,4.066120998430859,3.980944029453857
Ru,1.0,MCM-41,87.15,3.708245091873724,3.708245091873724,4.0121990919337245,4.0121990919337245,3.708245091873724
Mn,1.6,MCM-41,87.15,3.710051878039996,3.7100518780399967,3.9883889198999976,3.9883889198999976,3.710051878039996
Rh,1.0,MCM-41,87.15,3.662160071043724,3.662160071043724,3.983823911303725,3.983823911303725,3.662160071043724
Re,3.333333333333333,MCM-41,87.15,3.651011899310391,3.651011899310391,3.9618965551703913,3.9618965551703913,3.651011899310391
Ir,5.333333333333333,In2O3-ZrO2,99.0,3.815552796321856,3.815552796321856,3.955882295666856,3.955882295666856,3.815552796321856
Ir,5.333333333333333,ZnO-Fe2O3,95.0,3.9323254435273807,3.9323254435273807,3.869827942305713,3.9323254435273807,3.869827942305713
Re,3.333333333333333,CeW0.25Ox,89.1,3.663640014910393,3.663640014910393,3.930077529590394,3.930077529590394,3.663640014910393
Mn,1.6,CeW0.25Ox,89.1,3.704724111079999,3.704724111079999,3.929873345759999,3.929873345759999,3.704724111079999
Y,2.227272727272727,MCM-41,87.15,3.6010066459737238,3.6010066459737224,3.899217290033724,3.899217290033724,3.6010066459737224
Ir,5.333333333333333,MOF,93.95,3.7352267619218567,3.7352267619218567,3.869606746566857,3.869606746566857,3.7352267619218567
Pd,3.524342105263158,MCM-41,87.15,3.541576490542391,3.541576490542391,3.852765946402392,3.852765946402392,3.541576490542391
Rh,1.0,CeW0.25Ox,89.1,3.608816807750393,3.608816807750392,3.8356266991303936,3.8356266991303936,3.608816807750392
Ir,5.333333333333333,MoS2,93.73333333333332,3.773975724574523,3.773975724574523,3.831175581542914,3.831175581542914,3.773975724574523
La,3.0,MCM-41,87.15,3.545022012139997,3.545022012139997,3.8219623199999977,3.8219623199999977,3.545022012139997
Ir,5.333333333333333,ZnAlO,97.5,3.791977020760713,3.791977020760713,3.821173261429103,3.821173261429103,3.791977020760713
Pd,3.524342105263158,CeW0.25Ox,89.1,3.526944270462393,3.526944270462393,3.793686585142394,3.793686585142394,3.526944270462393
Ru,1.0,CeW0.25Ox,89.1,3.588730649873724,3.588730649873724,3.7907671162737255,3.7907671162737255,3.588730649873724
Ir,5.333333333333333,Nb2O5,93.4,3.77095223121738,3.77095223121738,3.79028308478577,3.79028308478577,3.77095223121738
La,3.0,CeW0.25Ox,89.1,3.5566943101799984,3.5566943101799984,3.7856576668599984,3.7856576668599984,3.5566943101799984
Ir,5.333333333333333,ZnO-ZrO2,99.5333333333333,3.74169404052738,3.74169404052738,3.6979928393057127,3.74169404052738,3.6979928393057127
Re,3.333333333333333,In2O3-ZrO2,99.0,3.287130975659998,3.287130975659998,3.687114328559998,3.687114328559998,3.287130975659998
Ir,5.333333333333333,TiO2,91.93333333333334,3.6678226097007127,3.6678226097007127,3.6839264712691016,3.6839264712691016,3.6678226097007127
Ir,5.333333333333333,SiO2,92.02162162162162,3.6678226097007127,3.6678226097007127,3.6839264712691016,3.6839264712691016,3.6678226097007127
Y,2.227272727272727,CeW0.25Ox,89.1,3.4805434450403907,3.4805434450403907,3.679708233440392,3.679708233440392,3.4805434450403907
Ir,5.333333333333333,ZnAl2O4,92.5,3.657559242900713,3.657559242900713,3.673663104469103,3.673663104469103,3.657559242900713
Rh,1.0,In2O3-ZrO2,99.0,3.210891115993332,3.210891115993332,3.6066870943933313,3.6066870943933313,3.210891115993332
Au,1.2272727272727273,CeW0.25Ox,89.1,3.373234070159999,3.373234070159999,3.59728658134,3.59728658134,3.373234070159999
Ru,1.0,In2O3-ZrO2,99.0,3.230303674709997,3.230303674709997,3.5966330403433293,3.5966330403433293,3.230303674709997
Y,2.227272727272727,In2O3-ZrO2,99.0,3.222289060809997,3.222289060809997,3.5857467484433294,3.5857467484433294,3.222289060809997
Mn,1.6,MOF,93.95,3.1448013331999984,3.1448013331999984,3.5828340673999977,3.5828340673999977,3.1448013331999984
Ru,1.0,MOF,93.95,3.177507324109998,3.1775073241099974,3.58197919194333,3.58197919194333,3.1775073241099974
Re,3.333333333333333,In2O3,96.3787514318442,3.2131744386799976,3.2131744386799976,3.5773423497800008,3.5773423497800008,3.2131744386799976
Mn,1.6,In2O3-ZrO2,99.0,3.1665620892999984,3.1665620892999984,3.562453022299997,3.562453022299997,3.1665620892999984
Rh,1.0,MOF,93.95,3.121768431793332,3.121768431793332,3.5597831013933314,3.5597831013933314,3.121768431793332
Pd,3.524342105263158,MSU-F,89.53333333333335,3.2240646894503926,3.2240646894503926,3.535095652710392,3.535095652710392,3.2240646894503926
Re,3.333333333333333,MOF,93.95,3.0928559516599985,3.0928559516599985,3.5309392837599978,3.5309392837599978,3.0928559516599985
Mn,1.6,MSU-F,89.53333333333335,3.2204610400399973,3.2204610400399973,3.519639887899997,3.519639887899997,3.2204610400399973
Mn,1.6,In2O3,96.3787514318442,3.1860560226186645,3.1860560226186645,3.518169187818666,3.518169187818666,3.1860560226186645
Pd,3.524342105263158,In2O3-ZrO2,99.0,3.1188038546919983,3.1188038546919983,3.516739045591998,3.516739045591998,3.1188038546919983
Y,2.227272727272727,MOF,93.95,3.0498688782099976,3.0498688782099976,3.44859739004333,3.44859739004333,3.0498688782099976
Au,1.2272727272727273,MCM-41,87.15,3.161733775539998,3.161733775539998,3.436634915899997,3.436634915899997,3.161733775539998
La,3.0,In2O3-ZrO2,99.0,3.0162571342999995,3.0162571342999995,3.4327759772999986,3.4327759772999986,3.0162571342999995
Ru,1.0,MSU-F,89.53333333333335,3.097559543363725,3.097559543363725,3.425191856723724,3.425191856723724,3.097559543363725
Rh,1.0,In2O3,96.3787514318442,3.109872796919998,3.109872796919998,3.4009689897866666,3.4009689897866666,3.109872796919998
Rh,1.0,MSU-F,89.53333333333335,3.0388406216837263,3.0388406216837263,3.3770892299437247,3.3770892299437247,3.0388406216837263
Re,3.333333333333333,MSU-F,89.53333333333335,3.0402675973503928,3.0402675973503928,3.367737021210392,3.367737021210392,3.0402675973503928
Pd,3.524342105263158,In2O3,96.3787514318442,2.9760684189439983,2.976068418943999,3.340527346044,3.340527346044,2.9760684189439983
La,3.0,MOF,93.95,2.8789665741999992,2.8789665741999992,3.334755540399999,3.334755540399999,2.8789665741999992
La,3.0,MSU-F,89.53333333333335,3.035469902139999,3.035469902139999,3.3332520159999985,3.3332520159999985,3.035469902139999
Y,2.227272727272727,MSU-F,89.53333333333335,3.004812994863725,3.004812994863725,3.326701952223725,3.326701952223725,3.004812994863725
Ru,1.0,In2O3,96.3787514318442,3.044759128039997,3.044759128039997,3.2993251233599983,3.2993251233599983,3.044759128039997
La,3.0,In2O3,96.3787514318442,2.938090663718666,2.938090663718666,3.2931709169186663,3.2931709169186663,2.938090663718666
Pd,3.524342105263158,MOF,93.95,2.831142081691999,2.831142081691999,3.2671772517919986,3.2671772517919986,2.831142081691999
Y,2.227272727272727,In2O3,96.3787514318442,2.923987107406664,2.923987107406664,3.1756814247266645,3.1756814247266645,2.923987107406664
Mg,0.7000000000000001,ZnAlO,97.5,2.757875253949999,2.757875253949999,3.0444484665733893,3.0444484665733893,2.757875253949999
Au,1.2272727272727273,MSU-F,89.53333333333335,2.67504636614,2.67504636614,2.9707893124999987,2.9707893124999987,2.67504636614
Mg,0.7000000000000001,MoS2,93.73333333333332,2.573160391749999,2.573160391749999,2.9299610745733897,2.9299610745733897,2.573160391749999
Au,1.2272727272727273,In2O3,96.3787514318442,2.525019836898666,2.525019836898666,2.886203205998666,2.886203205998666,2.525019836898666
Mg,0.7000000000000001,ZnO-Fe2O3,95.0,2.643311279316665,2.643311279316665,2.84414370805,2.84414370805,2.643311279316665
Au,1.2272727272727273,In2O3-ZrO2,99.0,2.4179301015000005,2.4179301015000005,2.8249378202,2.8249378202,2.4179301015000005
Au,1.2272727272727273,MOF,93.95,2.3199296815,2.3199296815,2.7737851254,2.7737851254,2.3199296815
Mg,0.7000000000000001,Nb2O5,93.4,2.47653900345,2.47653900345,2.7663907482733894,2.7663907482733894,2.47653900345
Mg,0.7000000000000001,SiO2,92.02162162162162,2.414793049349999,2.414793049349999,2.697453832873389,2.697453832873389,2.414793049349999
Mg,0.7000000000000001,TiO2,91.93333333333334,2.414793049349999,2.414793049349999,2.697453832873389,2.697453832873389,2.414793049349999
Mg,0.7000000000000001,ZnAl2O4,92.5,2.414793049349999,2.414793049349999,2.697453832873389,2.697453832873389,2.414793049349999
